Al2O3_Bauxite;Fe2O3_Bauxite;T-SiO2_Bauxite;R-SiO2_Bauxite;TiO2_Bauxite;LOI_Bauxite;THA_Bauxite;Average_MC_RM;F-NaOH_Spend_Liquor;A/C_Spend_Liquor;SC_Spend_Liquor;F-NaOH_SLE_Outlet;A/C_SLE_Outlet;F-NaOH_BDH-P-102;A/C_BDH-P-102;F-NaOH_BOS;A/C_BOS;SiO2_BOS;SC_BOS;F-NaOH_PFS_Filtrate;A/C_PFS_Filtrate;F-NaOH_Pregnant_Liquor;A/C_Pregnant_Liquor;Na2CO3_Pregnant_Liquor;F/T-NaOH_Pregnant_Liquor
48.63;12.31;7.22;3.11;0.88;27.6;43.4558;14.015;155.1;0.469;3.73;172.9;0.463;159.5;0.456;150.6;0.859;0.665;38.64;151.7;0.815;159.5;0.808;39.8;81.23971147
49.509;12.3276;7.9402;3.3547;0.9126;27.3013;44.070331;12.99;169.6;0.444;4;187.4;0.454;160.7;0.439;160.7;0.827;0.678;26.1;150.6;0.754;158.4;0.747;39.5;81.24688933
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;11.8;157.3;0.469;3.93;167.3;0.465;161.8;0.43;160.7;0.814;0.75;35.48;142.8;0.796;155.1;0.787;38.6;81.28930494
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;13.595;167.3;0.453;5.23;181.8;0.46;167.3;0.434;162.9;0.803;0.701;55.29;170.7;0.709;159.5;0.761;39.8;81.23555437
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;6.575;161.8;0.433;1.69;180.7;0.459;158.4;0.449;160.7;0.74;0.704;52;142.8;0.785;156.2;0.731;38.9;81.27112326
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;13.2;159.5;0.442;5.58;176.3;0.43;154;0.425;149.5;0.805;0.352;32.96;142.8;0.792;147.3;0.782;36.7;81.27158216
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;15.035;160.7;0.449;1.36;168.5;0.459;156.2;0.452;155.1;0.793;0.611;41.62;136.1;0.786;143.9;0.783;35.9;81.24883688
49.41385;14.62225;8.47745;3.4757;1.04375;26.79665;43.5015135;12.84;150.6;0.449;5;168.5;0.444;152.8;0.466;156.2;0.832;0.398;31.18;140.6;0.81;155.1;0.794;38.6;81.2899398
50.202975;15.309925;5.118525;3.01575;1.153925;27.9804;44.67963375;13.975;148.4;0.466;6.43;172.9;0.451;151.7;0.456;150.6;0.801;0.395;20.3;132.8;0.799;141.7;0.792;35.3;81.2780489
50.5601;16.9895;4.4994;2.9766;1.3309;27.675;44.826713;13.865;158.4;0.446;2.6;169.9;0.481;152.8;0.445;158.4;0.801;0.478;52.18;146.1;0.779;150.6;0.78;37.5;81.28083887
50.5601;16.9895;4.4994;2.9766;1.3309;27.675;44.826713;13.08;148.4;0.452;8.65;166.2;0.46;143.9;0.448;149.5;0.793;0.627;35.16;139.5;0.745;145;0.76;36.1;81.28460432
49.54625;15.6131;8.2413;3.37845;1.31425;26.97615;43.5893435;12.565;147.3;0.466;10.24;170.7;0.469;155.1;0.442;152.8;0.792;0.568;22.1;145;0.771;145;0.792;36.1;81.28770866
49.08975;11.47225;10.00515;3.9107;0.77565;27.14115;43.1844635;12.485;147;0.449;6.43;161.2;0.45;145.9;0.442;140.9;0.836;0.526;38.84;140.4;0.814;148.1;0.812;36.9;81.2736853
49.08975;11.47225;10.00515;3.9107;0.77565;27.14115;43.1844635;17.07;153.6;0.442;4.08;181;0.451;153.6;0.452;147;0.846;0.434;29.26;144.8;0.786;151.4;0.811;37.7;81.28293921
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;;144.8;0.459;1.64;194.1;0.448;150.3;0.452;170;0.465;0.508;8.31;143.7;0.683;148.1;0.693;36.9;81.26236944
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;9.82;154.7;0.443;1.96;149.2;0.455;151.4;0.436;156.9;0.825;0.783;43.38;165.6;0.652;172.2;0.647;42.9;81.251404
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;13.185;147.5;0.445;1.45;181;0.435;149.2;0.429;153.6;0.813;0.719;39.87;144.2;0.759;152.5;0.756;38;81.26445655
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;15.475;145.9;0.452;19.48;172.2;0.476;145.9;0.459;152.5;0.844;0.66;48.56;153.6;0.828;147;0.85;36.6;81.29115395
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;15.235;143.7;0.455;7.93;176.6;0.452;155.8;0.427;148.1;0.83;0.395;54.7;150.3;0.694;154.7;0.76;38.5;81.28725344
50.2706;12.1464;10.276;3.511;0.8384;26.225;44.69187;14.34;151.4;0.467;14;159;0.478;145.9;0.452;149.2;0.824;0.416;26.35;131.6;0.877;149.2;0.82;37.2;81.2608098
50.72;16.91;9.43;3.38;1.35;26.27;44.5669;17.835;151.4;0.464;6.27;164.5;0.466;151.4;0.443;152.5;0.826;0.801;30;143.7;0.807;151.4;0.801;37.7;81.28200991
50.72;16.91;9.43;3.38;1.35;26.27;44.5669;16.335;150.3;0.46;6.42;184.3;0.445;159;0.441;153.6;0.826;0.583;31.78;150.3;0.793;161.2;0.736;40.2;81.24394679
50.8538;16.3713;10.5365;3.7352;1.2452;25.8187;44.401441;15.555;149.2;0.474;4.84;186.5;0.439;160;0.465;157.9;0.855;0.514;39.82;145.9;0.813;160;0.814;39.9;81.25165371
50.8538;16.3713;10.5365;3.7352;1.2452;25.8187;44.401441;13.905;152.5;0.471;1;185.4;0.453;157.9;0.441;154.7;0.819;0.778;78;151.4;0.784;152.5;0.778;38;81.26648856
50.8538;16.3713;10.5365;3.7352;1.2452;25.8187;44.401441;17.145;154.7;0.488;1.67;186.5;0.482;155.8;0.468;157.9;0.825;0.809;28.38;152.5;0.799;159;0.799;39.6;81.2747135
48.4428;16.95685;4.7824;2.22715;1.3108;27.19365;43.516222;17.045;158.3;0.492;18.46;187.1;0.476;151.7;0.492;168.1;0.784;0.675;29.52;155;0.758;165.9;0.778;41.3;81.27836967
48.57285;15.71925;5.7352;2.63855;1.23505;26.8248;43.391714;8.73;147.3;0.492;11.5;;;147.3;0.489;141.9;0.858;0.629;46.64;136.4;0.819;141.9;0.832;35.4;81.25533453
48.57285;15.71925;5.7352;2.63855;1.23505;26.8248;43.391714;25.76;156.1;0.495;4.71;;;151.7;0.485;156.1;0.834;0.647;34.44;144.5;0.812;149.5;0.8;37.3;81.24609936
48.57285;15.71925;5.7352;2.63855;1.23505;26.8248;43.391714;6.565;151.2;0.495;2.93;;;150.6;0.478;146.5;0.843;0.598;29.18;140.8;0.846;149.5;0.821;37.8;80.99671306
48.57285;15.71925;5.7352;2.63855;1.23505;26.8248;43.391714;15.43;152.8;0.541;0.9;181.2;0.453;155;0.448;153.9;0.79;0.56;42;138.6;0.771;147.3;0.767;36.7;81.27014845
48.57285;15.71925;5.7352;2.63855;1.23505;26.8248;43.391714;14.605;149.5;0.475;4.11;185.5;0.445;155;0.451;153.9;0.827;0.506;24.67;145.2;0.786;147.3;0.795;36.7;81.27282452
49.4992;16.9472;7.866;3.1677;1.3027;26.765;43.567681;;;;;;;;;;;;;;;;;;
49.4992;16.9472;7.866;3.1677;1.3027;26.765;43.567681;;;;;;;;;;;;;;;;;;
49.4992;16.9472;7.866;3.1677;1.3027;26.765;43.567681;;;;;;;;;;;;;;;;;;
49.4992;16.9472;7.866;3.1677;1.3027;26.765;43.567681;;;;;;;;;;;;;;;;;;
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;16.89;156.1;0.403;17.33;152.8;0.418;153.9;0.408;145.2;0.74;0.539;33.25;145.2;0.66;150.6;0.643;37.5;81.26802857
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;9.08;149.5;0.4;30.42;164.8;0.406;151.7;0.398;150.6;0.872;0.231;19.9;144.1;0.809;146.2;0.804;36.4;81.28759433
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;17.88;150.6;0.431;8;148.4;0.42;158.3;0.423;147.3;0.822;0.259;26.09;145.2;0.772;147.3;0.805;36.7;81.27378008
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;17.07;149.5;0.458;11.62;175.7;0.444;157.2;0.439;152.8;0.829;0.406;46.42;150.6;0.774;151.7;0.818;37.8;81.27090511
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;13.595;155;0.409;2.7;185.5;0.429;148.4;0.464;151.7;0.808;0.596;54;148;0.744;152.8;0.783;38.1;81.25438709
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;13.325;146.2;0.464;2.53;174.6;0.467;147.3;0.457;146.2;0.849;0.758;43.73;138.6;0.801;143;0.819;35.6;81.29252502
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;14.05;141.9;0.446;8.22;177.9;0.45;155;0.425;151.7;0.825;0.76;35.43;148.4;0.782;152.8;0.796;38.1;81.25558601
48.04;15.19;9.84;3.59;1.11;26.17;41.9202;11.88;146.2;0.457;2;171.3;0.432;148.4;0.44;155;0.834;0.84;34.1;141.9;0.807;149.5;0.797;37.3;81.24581648
48.8123;14.3196;5.7889;2.47925;1.2918;23.9194;44.0115625;;142.1;0.477;3.22;180.4;0.446;139.9;0.456;142.1;0.449;0.532;0.96;134.5;0.511;141;0.508;35.1;81.26373229
